Year,Type,Country,Sex,Age,Fatal,Species
2014,Unprovoked,AUSTRALIA,Male,28.0,Yes,nan
2014,Boat,PAPUA NEW GUINEA,Male,21.0,No,nan
2014,Unprovoked,FRENCH POLYNESIA,Male,21.0,No,Blacktip
2014,Unprovoked,USA,Male,21.0,No,Blacktip
2014,Unprovoked,AUSTRALIA,Male,,No,Wobbegong Shark
2014,Invalid,AUSTRALIA,Female,10.0,No,No shark involvement
2014,Invalid,CAYMAN ISLANDS,Male,,No,nan
2014,Unprovoked,AUSTRALIA,Male,42.0,No,nan
2014,Unprovoked,NEW CALEDONIA,Male,42.0,No,nan
2014,Unprovoked,USA,Male,,No,4' to 5' shark
2014,Unprovoked,SOUTH AFRICA,Male,66.0,Yes,Unknown m shark
2014,Invalid,AUSTRALIA,Male,38.0,Yes,nan
2014,Unprovoked,AUSTRALIA,Female,63.0,Yes,3 m to 4 m white shark
2014,Unprovoked,USA,Male,,No,nan
2014,Unprovoked,USA,Male,,No,nan
2014,Provoked,SOUTH AFRICA,Male,,No,Ragged Tooth Shark
2014,Boat,SOUTH AFRICA,,,No,White Shark
2014,Unprovoked,USA,Male,25.0,No,nan
2014,Unprovoked,USA,,42.0,No,nan
2014,Unprovoked,AUSTRALIA,Male,,No,reef shark?
2014,Unprovoked,USA,Male,23.0,No,3' shark
2014,Unprovoked,USA,Female,40.0,No,4' to 5' shark
2014,Unprovoked,REUNION,Male,51.0,No,Unknown.8 metre shark
2014,Unprovoked,USA,Male,,No,nan
2014,Invalid,0,Male,,Yes,Shark involvement not confirmed
2014,Unprovoked,USA,Male,53.0,No,Unknown.5 m shark
2014,Boat,AUSTRALIA,Male,,No,nan
2014,Unprovoked,USA,Female,40.0,No,nan
2014,Unprovoked,USA,Female,,No,nan
2014,Unprovoked,USA,Female,7.0,No,Bull Shark
2014,Unprovoked,AUSTRALIA,Female,13.0,No,Unknown m shark
2014,Unprovoked,USA,Male,,No,UnknownUnknown' to Unknown4' shark
2014,Boat,USA,Female,,No,nan
2014,Unprovoked,USA,Male,,No,nan
2014,Unprovoked,USA,Female,,No,Tiger Shark
2014,Provoked,AUSTRALIA,Male,20.0,No,nan
2014,Unprovoked,USA,Female,34.0,No,Tiger Shark
2014,Unprovoked,USA,Male,18.0,No,nan
2014,Unprovoked,AUSTRALIA,Male,,No,nan
2014,Boat,USA,,,No,White Shark
2014,Unprovoked,USA,Male,15.0,No,Blacktip
2014,Unprovoked,USA,Male,44.0,No,Unknown' shark
2014,Boat,AUSTRALIA,Male,,No,White Shark
2014,Provoked,MAURITIUS,Male,39.0,Yes,nan
2014,Unprovoked,AUSTRALIA,Male,13.0,No,nan
2014,Provoked,SPAIN,Male,,No,nan
2014,Unprovoked,AUSTRALIA,Male,17.0,Yes,nan
2014,Unprovoked,JAPAN,Male,,No,Goblin shark
2014,Provoked,AUSTRALIA,Male,,No,Unknown.5 m shark
2014,Unprovoked,USA,Male,50.0,No,White Shark
2014,Invalid,SOUTH AFRICA,,,No,Shark involvement not confirmed & highly unlikely
2014,Sea Disaster,GREECE,,,No,Shark involvement prior to death still to be determined
2014,Unprovoked,AUSTRALIA,Male,17.0,Yes,White Shark
2014,Unprovoked,SOUTH AFRICA,Male,20.0,No,White Shark
2014,Unprovoked,USA,Male,29.0,No,Blacktip
2014,Unprovoked,AUSTRALIA,,,No,Unknown m shark
2014,Boat,USA,Male,,No,White Shark
2014,Provoked,USA,Male,33.0,No,nan
2014,Unprovoked,USA,Male,8.0,No,nan
2014,Unprovoked,USA,Female,45.0,No,nan
2014,Unprovoked,USA,Male,10.0,No,4' tp 5' shark
2014,Unprovoked,USA,Male,7.0,No,Bull Shark
2014,Unprovoked,USA,Female,10.0,No,nan
2014,Unprovoked,BAHAMAS,Male,,No,Bull Shark
2014,Unprovoked,USA,Male,26.0,No,nan
2014,Unprovoked,AUSTRALIA,Male,31.0,No,reef shark
2014,Unprovoked,USA,,,No,4' shark
2014,Provoked,USA,Male,,No,Bull Shark
2014,Unprovoked,USA,Female,,No,nan
2014,Unprovoked,USA,Male,29.0,No,4' to 6' shark
2014,Unprovoked,SPAIN,Female,,No,small shark
2014,Unprovoked,USA,Male,,No,Bull Shark
2014,Invalid,USA,,,No,Shark involvement not confirmed
2014,Unprovoked,AUSTRALIA,Male,50.0,Yes,7' shark
2014,Unprovoked,USA,Male,17.0,No,Spinner shark or blacktip shark
2014,Unprovoked,USA,Male,28.0,No,8' to UnknownUnknown' shark
2014,Unprovoked,AUSTRALIA,Male,23.0,No,Unknown white shark: Unknown3' & 98
2014,Unprovoked,USA,Male,,No,nan
2014,Unprovoked,FRENCH POLYNESIA,Female,36.0,No,Blacktip
2014,Invalid,USA,Male,,No,No shark involvement
2014,Boat,USA,Male,,No,White Shark
2014,Unprovoked,USA,Male,43.0,No,Bull Shark
2014,Unprovoked,USA,Female,,No,White Shark
2014,Provoked,USA,Male,52.0,No,3' to 4' shark
2014,Unprovoked,SPAIN,Male,16.0,No,nan
2014,Unprovoked,USA,Female,13.0,No,Spinner shark
2013,Unprovoked,BRAZIL,Male,41.0,Yes,nan
2013,Unprovoked,USA,Female,10.0,No,4' to 5' shark
2013,Provoked,USA,Male,58.0,No,Lemon Shark
2013,Unprovoked,AUSTRALIA,Male,,No,6' shark
2013,Unprovoked,USA,Male,32.0,No,Galapagos shark
2013,Unprovoked,USA,Male,11.0,No,nan
2013,Invalid,USA,Male,42.0,Yes,nan
2013,Provoked,PALESTINIAN TERRITORIES,Male,30.0,No,nan
2013,Unprovoked,ECUADOR,Male,29.0,No,Galapagos shark
2013,Unprovoked,USA,Female,,No,nan
2013,Unprovoked,REUNION,Male,36.0,Yes,Bull Shark
2013,Unprovoked,USA,Male,16.0,No,a small shark
2013,Provoked,AUSTRALIA,Male,,No,Wobbegong Shark
2013,Unprovoked,MEXICO,Female,34.0,No,Tiger Shark
2013,Unprovoked,USA,Male,,No,nan
2013,Unprovoked,SOUTH AFRICA,Male,,No,nan
2013,Unprovoked,USA,Male,15.0,No,nan
2013,Unprovoked,USA,Male,28.0,No,Tiger Shark
2013,Unprovoked,USA,Male,14.0,No,4' to 5' shark
2013,Unprovoked,USA,Male,,No,Bull Shark
2013,Unprovoked,USA,Male,,No,White Shark
2013,Invalid,JAMAICA,Male,20.0,Yes,nan
2013,Unprovoked,TAIWAN,Male,,No,nan
2013,Unprovoked,AUSTRALIA,Male,29.0,No,nan
2013,Invalid,SPAIN,Male,48.0,No,Shark involvement not confirmed
2013,Unprovoked,USA,Female,63.0,No,nan
2013,Unprovoked,DIEGO GARCIA,Male,33.0,Yes,nan
2013,Unprovoked,REUNION,Female,15.0,Yes,nan
2013,Unprovoked,USA,Male,9.0,No,3' shark
2013,Unprovoked,AUSTRALIA,Male,51.0,No,"Grey nurse shark, 3m"
2013,Unprovoked,AUSTRALIA,Male,28.0,No,Bronze Whaler Shark
2013,Unprovoked,SOUTH AFRICA,Male,,No,Blue
2013,Unprovoked,USA,Male,21.0,No,Bull Shark
2013,Unprovoked,BRAZIL,Female,18.0,Yes,nan
2013,Unprovoked,AUSTRALIA,Male,26.0,No,nan
2013,Unprovoked,NEW ZEALAND,Male,,No,Bronze Whaler Shark
2013,Unprovoked,USA,Male,43.0,No,Tiger Shark
2013,Invalid,AUSTRALIA,Male,62.0,No,nan
2013,Unprovoked,AUSTRALIA,Male,,No,nan
2013,Boat,AUSTRALIA,Male,,No,White Shark
2013,Unprovoked,JAMAICA,Male,18.0,No,nan
2013,Unprovoked,FRENCH POLYNESIA,Male,48.0,No,Lemon Shark
2013,Unprovoked,USA,Male,16.0,No,Blacktip
2013,Unprovoked,USA,Male,,No,reef shark?
2013,Unprovoked,USA,,,No,reef shark?
2013,Unprovoked,NEW ZEALAND,Male,46.0,Yes,White Shark
2013,Unprovoked,SOUTH AFRICA,Male,39.0,No,nan
2013,Unprovoked,PHILIPPINES,Male,,No,small sharks
2013,Unprovoked,JAMAICA,Male,68.0,Yes,Tiger Shark
2013,Unprovoked,SOUTH AFRICA,Male,,No,nan
2013,Provoked,SOUTH AFRICA,Male,30.0,No,Ragged Tooth Shark
2013,Unprovoked,BAHAMAS,Male,50.0,No,nan
2013,Unprovoked,BELIZE,Female,,No,Nurse Shark
2013,Unprovoked,SEYCHELLES,Male,34.0,No,nan
2013,Invalid,AUSTRALIA,Male,47.0,No,No shark involvement
2013,Unprovoked,USA,Male,58.0,No,4' shark
2013,Invalid,AUSTRALIA,Male,24.0,Yes,shark involvement not confirmed
2013,Unprovoked,USA,Male,50.0,No,nan
2013,Unprovoked,FRENCH POLYNESIA,Male,53.0,No,Possibly a blacktip reef shark
2013,Unprovoked,GUAM,Male,40.0,Yes,nan
2013,Unprovoked,USA,Female,50.0,No,nan
2013,Unprovoked,USA,Male,45.0,No,White Shark
2013,Unprovoked,BAHAMAS,Male,50.0,No,nan
2013,Unprovoked,USA,Male,7.0,No,nan
2013,Unprovoked,USA,Male,50.0,No,nan
2013,Unprovoked,USA,Male,12.0,No,Small Shark
2013,Unprovoked,NEW CALEDONIA,Male,37.0,No,Reported to involve a bull shark
2013,Unprovoked,AUSTRALIA,Male,55.0,No,White Shark
2013,Unprovoked,SOUTH AFRICA,Male,74.0,Yes,White Shark
2013,Unprovoked,USA,Male,6.0,No,Nurse Shark
2013,Unprovoked,USA,Male,25.0,No,Tiger Shark
2013,Unprovoked,USA,Male,45.0,No,White Shark
2013,Unprovoked,AUSTRALIA,Male,41.0,No,Wobbegong Shark
2013,Unprovoked,AUSTRALIA,Male,,No,Reported to involve a 4 m white shark
2013,Unprovoked,REUNION,Male,24.0,No,Thought to involve a bull shark
2013,Unprovoked,AUSTRALIA,Female,60.0,No,Blacktip
2013,Unprovoked,USA,Male,46.0,No,Tiger Shark
2013,Unprovoked,USA,Male,,No,nan
2013,Unprovoked,USA,Male,16.0,No,nan
2013,Provoked,BAHAMAS,Male,77.0,No,nan
2013,Unprovoked,AUSTRALIA,Male,,No,Reported to involve a white shark
2013,Unprovoked,USA,Male,25.0,No,White Shark
2013,Unprovoked,AUSTRALIA,Male,35.0,Yes,Thought to involve a white shark
2013,Unprovoked,USA,Female,58.0,No,nan
2013,Unprovoked,AUSTRALIA,Male,19.0,Yes,Tiger Shark
2013,Unprovoked,USA,Male,57.0,Yes,nan
2013,Unprovoked,AUSTRALIA,Male,26.0,No,Wobbegong Shark
2013,Unprovoked,USA,Male,30.0,No,4' to 6' shark
2013,Unprovoked,USA,Male,29.0,No,Tiger Shark
2013,Unprovoked,KIRIBATI,Male,35.0,No,nan
2013,Unprovoked,BAHAMAS,Male,64.0,No,Nurse Shark
2013,Provoked,ISRAEL,Male,27.0,No,nan
2013,Unprovoked,SOUTH AFRICA,Male,19.0,No,White Shark
2013,Unprovoked,USA,Male,45.0,No,nan
